FID,Group_,Partner,Neighborhood,Council,IDNumber,SHAPE_Length,SHAPE_Area
1,Heinz History Center,None,Strip District,7,1,1506.54386366207,96096.9685516252
2,Allegheny County Adult Probation,None,Arlington,3,2,1829.40470887077,24067.0370866681
3,West End Children's Center,None,Elliott,2,3,1671.51146750868,33866.7804109429
4,PA Resource Council,None,South Side Flats,3,4,1101.69962756965,71281.1218264507
6,Spring Hill Civic League,None,Spring Hill-City View,2,5,3923.92311970958,124124.67927677
7,Asian Leadership Program,OPDC,Central Oakland,3,6,2346.79326033824,45014.296187802
8,"Alpha Phi Omega Kappa Chapter, CMU",OPDC,North Oakland,8,7,3286.22183262521,53187.1211531014
9,Delta Chi,OPDC,North Oakland,8,8,2834.95303745752,36930.9070451904
10,Delta Sigma Pi,OPDC,Central Oakland,3,9,1699.74034019371,18647.5217372111
11,Gamma Sigma Sigma,OPDC,Central Oakland,3,10,2300.19338260909,25073.5487456756
12,National Society of Collegiate Scholars,OPDC,West Oakland,6,11,1593.48687539521,21055.9069255366
13,"Biology Club, Pitt",OPDC,Central Oakland,3,12,2166.71287418338,26812.4159076851
14,"Circle K, Pitt",OPDC,Central Oakland,3,13,1830.30214791799,42194.0127341366
15,Sigma Beta Rho,OPDC,South Oakland,3,14,2183.31838702538,29119.5421043082
17,Tau Kappa Epsilon,OPDC,South Oakland,3,15,1828.05019075169,24481.3685030294
18,Theta Phi Alpha,OPDC,Central Oakland,3,16,1663.18802427202,23276.7860304707
19,"Tri Beta, Pitt",OPDC,South Oakland,3,17,2089.41512776951,70110.7908085338
20,Zeta Sigma Chi,OPDC,Central Oakland,3,18,1611.99786823628,22939.2533582739
21,Sigma Chi,OPDC,North Oakland,8,19,1874.96505978826,36077.9374058146
22,Triangle Fraternity,OPDC,South Oakland,8,20,2786.97691787938,54171.2379227763
24,Alpha Gamma Upsilon,OPDC,West Oakland,6,21,2209.86082359317,59489.9802045933
25,"Alpha Phi Omega, Pitt Chapter",OPDC,South Oakland,8,22,2449.04905987988,51955.5997810404
26,"Circle K, CMU",OPDC,North Oakland,8,23,1718.1036286062,26918.4175476399
27,Lambda Kappa Sigma,OPDC,South Oakland,3,24,2956.23685761471,40644.3222582955
28,Sigma Alpha Mu,OPDC,North Oakland,8,25,2391.17831862619,31772.2911696629
31,St. Paul AME Beltzhoover,None,Beltzhoover,3,26,1639.6482614642,95490.0781406935
32,Zone 7 Neighbors,MWCDC,Mount Washington,2,27,1603.50029911212,97440.1424096706
33,Zone 8 Neighbors,MWCDC,Mount Washington,2,28,2767.71632156855,305713.304046799
35,Zone 9 Neighbors,MWCDC,Mount Washington,2,29,3035.81273361995,244947.464998569
36,Zone 10 Neighbors,MWCDC,Mount Washington,2,30,1119.80735483739,14872.4201193051
37,Zone 10 Neighbors,MWCDC,Mount Washington,2,30,977.09732960062,12305.7776721516
38,Zone 10 Neighbors,MWCDC,Mount Washington,2,30,781.789893934221,13718.4377712355
39,Zone 18 Neighbors,MWCDC,Mount Washington,3,31,2287.88322074796,194587.409515118
41,Zone 20 Neighbors,MWCDC,Mount Washington,3,32,1889.54698194453,63355.477768133
42,Cats and Dogs Coffee Regulars,None,Lower Lawrenceville,7,33,2224.73572515539,207380.988027791
43,Civic Leadership Academy Class of Fall 2011,None,Strip District,7,34,3078.1585486856,67128.0131759726
44,Uptown Partners,None,Bluff/Uptown,6,36,834.420970479834,9187.23820145355
45,Point Breeze North Development Corporation (PBDNC),None,North Point Breeze,9,37,808.27671587848,8670.09332017248
46,Point Breeze North Development Corporation (PBDNC),None,North Point Breeze,9,37,1759.20131410972,26978.1439103031
47,Point Breeze North Development Corporation (PBDNC),None,North Point Breeze,9,37,2628.20472332865,39633.1911062266
48,PULSE,None,East Liberty,9,35,2626.40556510424,31317.5489231519
49,Pittsburgh Grandview,School,Allentown,3,38,562.196011658289,7609.96901124117
50,Pittsburgh Grandview,School,Allentown,3,38,545.16673922367,7564.30188322672
51,Pittsburgh King PreK-8,School,Allegheny West,1,39,1725.96658070736,19151.980158557
52,Saint Rosalia Academy,School,Greenfield,5,40,1578.36347402456,15759.8645362259
53,Pittsburgh Sterrett 6-8,School,Point Breeze,9,41,3774.92350489887,41690.1877224938
55,Pittsburgh Carrick HS 9th Grade,School,Carrick,4,42,322.915881730376,2369.96680996192
56,Pittsburgh Carrick HS 9th Grade,School,Carrick,4,42,1407.57323342323,12933.6393212775
57,Propel Andrew Street HS,School,Hazelwood,5,43,1533.12294733576,11375.0528414021
58,"Phi Sigma Pi, Pitt",None,Shadyside,8,44,2135.26679791191,28277.186934162
59,Logan's Litter League,None,Sheraden,2,45,1690.54266458473,16024.6099246998
60,"Heroiks, Pitt",None,Homewood South,9,46,1817.29573112636,19290.8198343199
61,ASQ,None,Central Business District,6,47,2625.39868833951,39050.7645188865
62,Zone 12 Neighbors,MWCDC,Mount Washington,2,48,5988.16050974244,83089.3304589229
